Event_Date,Event_Type,Event_Region,Event_Intensity,Event_Duration_Days,Event_Polarity,Event_Media_Coverage,Cyber_Threat_Type,Cyber_Threat_Severity,Num_Cyber_Attacks,Threat_Actors,Target_Sector,Geopolitical_Risk_Index,Economic_Impact_Score,Media_Sentiment_Score,Pre_Event_Threat_Count,Post_Event_Threat_Count,Cybercrime_Index,Cybersecurity_Exposure_Index,Threat_Lag,Post_Event_Duration,Likelihood,Severity,Country_Risk_Category
2025-02-28,Protests,North America,7.0,3.7705116326144377,Neutral,77.99972871637412,Ransomawre,2.0,49.0,Hacktivists,Eenrgy,45.92488919658672,,-0.8611852067552525,,109.0,65.08884729488528,5.641157902710026,7.0,11.0,0.007,2.0,Medium
2025-02-24,Sancitons,Africa,9.0,5.3539838370305,Positive,,Insider Threat,2.0,41.0,State-sponsored,Technology,36.651402125640466,45.6069984217036,0.5703519227860272,51.0,92.0,59.24145688620425,4.645041271999773,2.0,11.0,-0.04774095974556597,2.0,Medium
2025-03-15,Military Conflict,North America,4.0,5.285377352951409,oPsitive,38.54165025399161,DDoS,1.0,44.0,Hacktivists,Energy,68.32635188254582,60.99966577826209,0.6663898234723287,63.0,107.0,17.336465350777207,39.10606075732408,8.0,9.0,0.568,1.0,High
2025-03-14,Trade Disputes,South America,2.0,2.8866396488702284,Positive,77.51328233611146,Insider Threat,3.0,60.0,Hacktivists,Technology,91.73645474867736,8.84925020519195,-0.6080342751617096,47.0,107.0,38.8677289689482,27.134903177389592,6.0,,0.281,3.0,High
2025-02-22,Military Conflict,Europe,9.0,2.469740229922146,Negative,,Insider Threat,2.0,,Cybercriminals,Finance,0.14079822715084456,19.884240408880515,-0.07113314353897066,39.0,,79.01755405312056,60.59599747810114,7.0,9.0,0.371,2.0,Low
2025-03-04,Sanctions,Africa,8.0,6.791133938537227,Negative,66.59223566174967,Ransomawre,2.0,45.0,Cybercriminals,Energy,38.29268747537898,97.17120953891038,0.6978276485321677,,76.0,25.858385332481426,4.043358953843135,9.0,12.0,,2.0,Medium
2025-03-13,Sanctions,Asia,3.0977440891708827,5.261141204714514,,31.435598107632668,DDoS,2.0,61.0,Insiders,Finance,41.038292303562976,75.55511385430486,-0.5424036690167551,44.0,,7.697990982879299,28.9751452913768,8.0,7.0,0.539,2.0,Medium
2025-03-17,Elections,Asia,10.0,8.474559958796084,Neutral,12.208795470067336,Ransomware,2.0,61.0,State-sponsored,Healthcare,64.76901205413623,0.0520376995315818,-0.294862287331662,32.0,93.0,53.4089419375442,48.48299713589832,5.0,12.0,0.244,2.0,Medium
2025-03-04,Tarde Disputes,,6.0,5.903968402848904,Negative,40.383617105804085,DDoS,1.0,45.0,Cybercriminals,Technology,69.63042728397883,71.2270589924442,-0.7038261400932002,20.0,65.0,99.77404850489418,26.6781014275285,6.0,11.0,0.531,1.0,High
2025-03-13,,South America,10.0,6.034707005134186,Positive,98.56504541106008,DDoS,1.0,54.0,State-sponsored,Energy,23.763754399239968,72.82163486118596,-0.2644337345614935,78.0,132.0,53.57746840747585,9.02897700544083,11.0,14.0,0.187,1.0,Low
2025-03-09,Elections,Nroth America,3.0,10.119814861035389,Positive,,DDoS,2.0,44.0,Insiders,Government,17.007842998973643,69.09377381024659,-0.2265293073989251,67.0,111.0,93.67299887367344,,,7.0,0.817,2.0,Low
2025-03-12,Militayr Conflict,fArica,90.0,4.033815451382973,Negative,51.66358912710143,Phishing,1.0,51.0,Cybercriminals,Government,19.257915148395828,27.887135259218187,0.4007156599455426,52.0,103.0,40.45081271221901,88.77700987609597,7.0,13.0,0.581,1.0,Low
